bench,done,result_seen,checksum_pass,timeout,protocol_error,double_response,reset_idle_violation,pre_fetch_resp_violation,pre_data_resp_violation,vbuf_empty_observed,cpu_load,cpu_store,byte_store,half_store,full_store,mem_read_req,mem_read_rsp,mem_write_req,mem_read_not_ready,mem_write_not_ready,mem_read_latency_max,cache_read_miss,cache_write_miss,refill_start,refill_done,refill_dir_write,refill_way_onehot,plru_update,victim_select,victim_way_onehot,victim_invalid,victim_clean,victim_dirty,dirty_set,vbuf_alloc,vbuf_capture_start,vbuf_capture_done,first_wb_addr,first_wb_data0,first_wb_be,vbuf_safe_to_overwrite,vbuf_writeback_start,vbuf_writeback_done,vbuf_full,vbuf_busy,vbuf_capture_pending,vbuf_forward_hit,vbuf_forward_req,vbuf_forward_req_entry_valid,vbuf_forward_req_nline_match,icache_access,icache_miss,icache_refill,result
reset_idle,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,0,0,0,4,1,2,PASS
basic_load_store,1,1,1,0,0,0,0,0,0,1,3,3,0,0,3,1,1,2,21,164,21,1,1,1,1,1,2,1,2,2,2,0,1,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,0,0,0,17,4,5,PASS
repeated_load,1,1,1,0,0,0,0,0,0,1,128,0,0,0,0,1,1,2,22,164,21,1,0,1,1,1,2,1,2,2,2,0,0,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,1,0,0,261,65,66,PASS
store_hit_dirty,1,1,1,0,0,0,0,0,0,1,2,1,0,0,1,1,1,2,22,164,21,1,0,1,1,1,2,1,2,2,2,0,0,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,1,0,0,10,2,3,PASS
store_miss_clean_victim,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,2,21,164,21,1,1,1,1,1,2,1,2,2,2,0,1,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,0,0,0,9,1,2,PASS
plru_invalid_way,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,2,2,2,19,164,21,2,0,2,2,2,4,2,4,4,4,0,0,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,2,0,0,9,2,3,PASS
plru_clean_replacement,1,1,1,0,0,0,0,0,0,1,3,0,0,0,0,3,3,2,17,164,21,3,0,3,3,3,6,3,6,6,4,2,0,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,3,0,0,13,3,4,PASS
dirty_eviction_vbuf,1,1,1,0,0,0,0,0,0,1,3,1,0,0,1,3,3,3,15,247,21,3,0,3,3,3,6,3,8,8,4,0,4,0,1,1,00000002,10000000,0001,15,3,1,1,169,168,2,0,5,1,0,15,3,4,PASS
vbuf_forward_load,1,1,1,0,0,0,0,0,0,1,4,1,0,0,1,3,3,3,15,247,21,3,0,3,3,3,6,3,9,9,4,1,4,0,1,1,00000002,10000000,0001,15,3,1,1,169,168,2,1,6,2,1,16,3,4,PASS
vbuf_full_backpressure,1,1,1,0,0,0,0,0,0,1,4,3,0,0,3,4,4,4,51,329,21,4,0,4,4,4,8,4,72,72,4,0,68,0,2,2,00000004,10000000,0001,15,6,2,2,338,336,4,0,68,62,0,21,5,6,PASS
load_after_store_same_line,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,2,21,164,21,1,1,1,1,1,2,1,2,2,2,0,1,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,0,0,0,9,1,2,PASS
no_deadlock_smoke,1,1,1,0,0,0,0,0,0,1,3,1,0,0,1,2,2,2,33,164,21,2,0,2,2,2,4,2,4,4,4,0,0,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,2,0,0,12,3,4,PASS
load_miss_variants,1,1,1,0,0,0,0,0,0,1,5,0,0,0,0,5,5,2,59,164,21,5,0,5,5,5,10,5,10,10,8,2,0,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,5,0,0,24,5,6,PASS
store_byte_half_corner,1,1,1,0,0,0,0,0,0,1,4,4,1,1,2,1,1,2,0,164,21,1,1,1,1,1,2,1,2,2,2,0,1,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,0,0,0,22,5,6,PASS
store_conflict_dirty,1,1,1,0,0,0,0,0,0,1,5,1,0,0,1,4,4,3,58,266,21,4,0,4,4,4,8,4,11,11,4,3,4,0,1,1,00000002,10000000,0001,15,3,1,1,169,168,2,1,7,3,1,22,5,6,PASS
plru_update_after_hit,1,1,1,0,0,0,0,0,0,1,5,0,0,0,0,4,4,2,38,164,21,4,0,4,4,4,8,4,8,8,4,4,0,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,4,0,0,18,4,5,PASS
multi_dirty_eviction,1,1,1,0,0,0,0,0,0,1,4,2,0,0,2,4,4,4,51,329,21,4,0,4,4,4,8,4,73,73,4,0,69,0,2,2,00000004,10000000,0001,15,6,2,2,338,336,4,0,69,63,0,22,5,6,PASS
vbuf_ordering,1,1,1,0,0,0,0,0,0,1,4,2,0,0,2,4,4,3,57,267,21,4,1,4,4,4,8,4,10,10,4,2,5,0,1,1,00000002,10000000,0001,15,3,1,1,169,168,2,0,5,1,0,22,5,6,PASS
memory_backpressure_latency,1,1,1,0,0,0,0,0,0,1,3,0,0,0,0,3,3,2,38,164,21,3,0,3,3,3,6,3,6,6,6,0,0,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,3,0,0,16,3,4,PASS
uncached_access,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,2,0,164,21,1,1,1,1,1,2,1,2,2,2,0,1,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,0,0,0,9,2,3,PASS
unaligned_access,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,2,19,164,21,1,0,1,1,1,2,1,2,2,2,0,0,0,0,0,00000000,10000000,0001,15,0,0,0,0,0,0,0,1,0,0,9,1,2,PASS
