test_name,bench_name,cache_mode,event_type,source,addr,request_cycle,response_cycle,latency,notes
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000000,257,299,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000000,256,299,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000004,300,301,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000008,302,303,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000000c,304,305,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000010,307,349,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000010,306,349,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000014,350,351,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000018,352,353,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000001c,354,355,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001000,357,399,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,353,401,48,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,STORE_HIT_TO_DIRTY_UPDATE,dcache_monitor,00001000,403,406,3,store_completion=dirty_update_event
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000020,356,442,86,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000020,400,442,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000024,443,444,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000028,445,446,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000002c,447,448,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001100,448,490,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001100,444,492,48,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000030,493,536,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000030,494,536,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000034,537,538,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001200,537,579,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001200,493,581,88,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000038,583,584,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,582,585,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,586,589,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000003c,590,591,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001004,591,594,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001008,596,599,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_WRITE_ADDR_DATA_TO_RSP,mem_monitor_dcache,00001000,583,665,82,store_latency=N/A_core_completion_not_defined
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,DIRTY_VBUF_WRITEBACK_START_TO_DONE,dcache_monitor,00001000,500,665,165,dirty_vbuf_writeback
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000040,592,708,116,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000040,666,708,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000044,709,710,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000048,711,712,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000004c,713,714,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_LAST_RSP,mem_monitor_dcache,00001000,716,758,42,dcache_read_last
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,0000100c,712,760,48,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,762,765,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000050,759,801,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000050,715,801,86,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000054,802,803,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000058,804,805,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000005c,806,807,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001004,805,808,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001008,810,813,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000060,809,851,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000060,808,851,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000064,852,853,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000068,854,855,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000006c,856,857,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,0000100c,855,858,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,860,863,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000070,859,901,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000070,858,901,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000074,902,903,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000078,904,905,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000007c,906,907,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001004,905,908,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001008,910,913,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000080,909,951,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000080,908,951,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000084,952,953,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000088,954,955,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000008c,956,957,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,0000100c,955,958,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,960,963,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000090,959,1001,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000090,958,1001,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000094,1002,1003,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000098,1004,1005,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000009c,1006,1007,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001004,1005,1008,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001008,1010,1013,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800000a0,1009,1051,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000a0,1008,1051,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000a4,1052,1053,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000a8,1054,1055,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000ac,1056,1057,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,0000100c,1055,1058,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,1060,1063,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800000b0,1059,1101,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000b0,1058,1101,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000b4,1102,1103,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000b8,1104,1105,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000bc,1106,1107,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001004,1105,1108,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001008,1110,1113,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800000c0,1109,1151,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000c0,1108,1151,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000c4,1152,1153,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000c8,1154,1155,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000cc,1156,1157,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,0000100c,1155,1158,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,1160,1163,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800000d0,1159,1201,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000d0,1158,1201,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000d4,1202,1203,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000d8,1204,1205,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000dc,1206,1207,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001004,1205,1208,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001008,1210,1213,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800000e0,1209,1251,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000e0,1208,1251,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000e4,1252,1253,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000e8,1254,1255,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000ec,1256,1257,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,0000100c,1255,1258,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,1260,1263,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,800000f0,1259,1301,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000f0,1258,1301,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000f4,1302,1303,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000f8,1304,1305,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,800000fc,1306,1307,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001004,1305,1308,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001008,1310,1313,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000100,1309,1351,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000100,1308,1351,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000104,1352,1353,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000108,1354,1355,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000010c,1356,1357,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,0000100c,1355,1358,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001000,1360,1363,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000110,1359,1401,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000110,1358,1401,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000114,1402,1403,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000118,1404,1405,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000011c,1406,1407,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001004,1405,1408,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,00001008,1410,1413,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000120,1409,1451,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000120,1408,1451,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000124,1452,1453,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000128,1454,1455,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000012c,1456,1457,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,LOAD_REQ_TO_RSP,core_monitor,0000100c,1455,1458,3,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000130,1459,1501,42,icache_read
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000130,1458,1501,43,class=miss_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000134,1502,1503,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,80000138,1504,1505,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,STORE_HIT_TO_DIRTY_UPDATE,dcache_monitor,00001000,1503,1506,3,store_completion=dirty_update_event
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,IFETCH_REQ_TO_RSP,core_monitor,8000013c,1506,1507,1,class=hit_event_correlated
uvm_p5_perf_collector_test,uvm_p5_perf_collector,FULL_L1,MEM_READ_REQ_TO_RSP,mem_monitor_icache,80000140,1509,1551,42,icache_read
