row_index,No,testcase_id,Test Item,Test Name,Category,Description,Test Flow,Pass Condition,Coverage source,UVM test or monitor/counter hit,observed evidence,status,reason
"1","1.1","TC_001","Core Reset","core_during_rst","General Reset Sequence / Basic Access","Verify that CV32 does not issue any request during reset.","Assert reset; monitor CV32 request and valid signals.","No CV32 request or valid signal is asserted during reset.","cp_reset_event(core_reset)","cv32_l1_coverage reset sampler","reset_sampler: reset_samples=19 core_req_viol=0 core_valid_viol=0 mem_viol=0 post_reset_idle_samples=6 icache_idle_viol=0 dcache_idle_viol=0 vbuf_empty_samples=6 arb_idle_samples=6 plru_zero_samples=6 mshr_empty_samples=6 rtab_empty_samples=6","PASS","PASS requires sampled reset cycles with no CV32 request or valid signal."
"2","1.2","TC_002","Fetch after Reset","core_fetch_after_reset","General Reset Sequence / Basic Access","Verify CV32 starts fetching after reset deassertion.","Release reset and enable fetch.","Instruction request handshake is observed after reset.","cp_reset_event(core_access_after_reset), cp_req_source(i_fetch)","sys_monitor, core_monitor, scoreboard","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS only when reset deassert, fetch, instruction accept/response, done, and pass are all observed."
"3","1.3","TC_003","I-Cache idle after reset","icache_idle_after_reset","General Reset Sequence / Basic Access","Verify I-Cache idle behavior after reset.","Assert/deassert reset and inspect I-Cache post-reset behavior.","I-Cache begins in a stable post-reset state before first fetch.","cp_reset_event(icache_reset)","cv32_l1_coverage reset sampler, icache_monitor","reset_sampler: reset_samples=19 core_req_viol=0 core_valid_viol=0 mem_viol=0 post_reset_idle_samples=6 icache_idle_viol=0 dcache_idle_viol=0 vbuf_empty_samples=6 arb_idle_samples=6 plru_zero_samples=6 mshr_empty_samples=6 rtab_empty_samples=6","PASS","PASS proves externally observable I-Cache idle behavior in the post-reset pre-fetch window."
"4","1.4","TC_004","I-Cache first access","icache_first_access_after_reset","General Reset Sequence / Basic Access","Verify first I-Cache access after reset.","Release reset and observe first fetch path.","First access is accepted and can miss/refill cleanly.","cp_reset_event(icache_reset), cp_icache_event(fetch_miss)","core_monitor, mem_monitor, icache_monitor, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS requires post-reset first fetch traffic with I-cache miss/refill evidence."
"5","1.5","TC_005","D-Cache idle after reset","dcache_idle_after_reset","General Reset Sequence / Basic Access","Verify D-Cache idle behavior after reset.","Assert/deassert reset and inspect D-Cache post-reset behavior.","D-Cache begins idle before first data access.","cp_reset_event(dcache_reset)","cv32_l1_coverage reset sampler, dcache_monitor","reset_sampler: reset_samples=19 core_req_viol=0 core_valid_viol=0 mem_viol=0 post_reset_idle_samples=6 icache_idle_viol=0 dcache_idle_viol=0 vbuf_empty_samples=6 arb_idle_samples=6 plru_zero_samples=6 mshr_empty_samples=6 rtab_empty_samples=6","PASS","PASS proves externally observable D-Cache idle behavior in the post-reset pre-fetch window."
"6","1.6","TC_006","D-Cache first access","dcache_first_access_after_reset","General Reset Sequence / Basic Access","Verify first D-Cache access after reset.","Release reset and observe first data request.","First data request is accepted and serviced.","cp_reset_event(dcache_reset), cp_req_source(d_load/d_store)","core_monitor, mem_monitor, dcache_monitor, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS requires first observable D-cache data traffic with miss/refill evidence."
"7","1.7","TC_007","PLRU reset","plru_init_after_reset","General Reset Sequence / Basic Access","Verify PLRU initializes correctly after reset.","Assert/deassert reset and inspect PLRU state.","PLRU state initializes to expected reset value.","cp_reset_event(plru_reset)","cv32_l1_coverage reset sampler, cache_event_if.plru_state_zero","reset_sampler: reset_samples=19 core_req_viol=0 core_valid_viol=0 mem_viol=0 post_reset_idle_samples=6 icache_idle_viol=0 dcache_idle_viol=0 vbuf_empty_samples=6 arb_idle_samples=6 plru_zero_samples=6 mshr_empty_samples=6 rtab_empty_samples=6","PASS","PASS requires observable PLRU reset-state samples in the post-reset pre-fetch window."
"8","1.8","TC_008","VBUF reset","vbuf_empty_after_reset","General Reset Sequence / Basic Access","Verify victim buffer is empty after reset.","Assert/deassert reset and inspect VBUF.","VBUF empty indication is observed after reset.","cp_reset_event(vbuf_reset), cp_vbuf_event(empty_reset)","cv32_l1_coverage reset sampler, cache_event_if.wbuf_empty","reset_sampler: reset_samples=19 core_req_viol=0 core_valid_viol=0 mem_viol=0 post_reset_idle_samples=6 icache_idle_viol=0 dcache_idle_viol=0 vbuf_empty_samples=6 arb_idle_samples=6 plru_zero_samples=6 mshr_empty_samples=6 rtab_empty_samples=6","PASS","PASS requires observable VBUF empty samples in the post-reset pre-fetch window."
"9","1.9","TC_009","MSHR reset","mshr_empty_after_reset","General Reset Sequence / Basic Access","Verify MSHR is empty after reset.","Assert/deassert reset and inspect MSHR.","MSHR has no active entry after reset.","cp_reset_event(mshr_reset), cp_mshr_event(no_alloc)","cv32_l1_coverage reset sampler, cache_event_if.miss_mshr_empty","reset_sampler: reset_samples=19 core_req_viol=0 core_valid_viol=0 mem_viol=0 post_reset_idle_samples=6 icache_idle_viol=0 dcache_idle_viol=0 vbuf_empty_samples=6 arb_idle_samples=6 plru_zero_samples=6 mshr_empty_samples=6 rtab_empty_samples=6","PASS","PASS requires observable MSHR empty samples in the post-reset pre-fetch window."
"10","1.10","TC_010","Arbiter reset","arbiter_idle_after_reset","General Reset Sequence / Basic Access","Verify L1 arbiter is idle after reset.","Assert/deassert reset and inspect arbiter state.","Arbiter idle state is observed after reset.","cp_reset_event(arbiter_reset), cp_arbiter_event(idle_reset)","cv32_l1_coverage reset sampler, cache_event_if.arb_state","reset_sampler: reset_samples=19 core_req_viol=0 core_valid_viol=0 mem_viol=0 post_reset_idle_samples=6 icache_idle_viol=0 dcache_idle_viol=0 vbuf_empty_samples=6 arb_idle_samples=6 plru_zero_samples=6 mshr_empty_samples=6 rtab_empty_samples=6","PASS","PASS requires observable arbiter idle samples in the post-reset pre-fetch window."
"11","1.11","TC_011","Memory quiet during reset","mem_no_transaction_during_reset","General Reset Sequence / Basic Access","Verify no memory transaction during reset.","Assert reset and monitor memory interface.","No I/D memory request occurs while reset is asserted.","cp_reset_event(memory_transaction_reset)","cv32_l1_coverage reset sampler","reset_sampler: reset_samples=19 core_req_viol=0 core_valid_viol=0 mem_viol=0 post_reset_idle_samples=6 icache_idle_viol=0 dcache_idle_viol=0 vbuf_empty_samples=6 arb_idle_samples=6 plru_zero_samples=6 mshr_empty_samples=6 rtab_empty_samples=6","PASS","PASS requires sampled reset cycles with no memory request or response."
"12","2.1","TC_012","I-Cache fetch miss","icache_fetch_miss_mem_read","I-Cache Protocols","Verify instruction miss generates memory read.","Run first fetch and observe I-cache miss path.","Miss event and I memory read request/response are observed.","cp_icache_event(fetch_miss), cp_req_source(i_fetch)","core_monitor, icache_monitor, mem_monitor, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS requires observed I fetch, I memory read, and I-cache miss event."
"13","2.2","TC_013","I-Cache refill miss","icache_refill_miss","I-Cache Protocols","Verify I-cache refill after miss.","Cause instruction miss and observe refill return.","Refill event and instruction response are observed.","cp_icache_event(refill_miss), cp_cache_result(refill)","icache_monitor, mem_monitor, core_monitor, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS requires I-cache refill event and memory read response evidence."
"14","2.3","TC_014","I-Cache hit after refill","icache_fetch_hit_after_refill","I-Cache Protocols","Verify fetch hit after refill.","Fetch an address after refill and observe no extra miss for that response.","Post-refill instruction response is observed.","cp_icache_event(fetch_hit), cp_cache_result(hit)","core_monitor, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS infers fetch hit when instruction accepts exceed observed I-cache misses after refill."
"15","2.4","TC_015","Sequential fetch hit","icache_sequential_fetch_hit","I-Cache Protocols","Verify sequential fetch locality.","Run sequential instruction stream.","Multiple instruction accepts/responses occur after refill.","cp_icache_event(sequential_fetch_hit)","core_monitor, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS requires sequential instruction traffic with fewer misses than accepted fetches."
"16","2.5","TC_016","I-Cache isolation","icache_fetch_only_isolation","I-Cache Protocols","Verify fetch-only traffic isolation.","Run fetch-only program with no D-cache traffic.","No data cache load/store occurs.","cp_icache_event(fetch_only_isolation)","core_monitor fetch-only pre-data window","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS uses the Phase 4 directed program's initial fetch-only window before the first data access."
"17","3.1","TC_017","D-Cache load hit","dcache_load_hit","Load Data","Verify D-cache load hit.","Perform repeated load to cached line.","Load hit is observed without memory read.","cp_dcache_load_event(load_hit), cp_cache_result(hit)","core_monitor, dcache_monitor, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18","PASS","PASS infers load hit when accepted loads exceed observed D-cache read misses."
"18","3.2","TC_018","Load miss clean refill","dcache_load_miss_clean_refill","Load Data","Verify clean/invalid load miss refill.","Issue load miss and observe memory read/refill.","Load miss and D memory read response complete.","cp_dcache_load_event(miss_clean_invalid), cp_victim_type(invalid/clean)","core_monitor, dcache_monitor, mem_monitor, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18; deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires load miss/refill plus invalid or clean victim evidence."
"19","3.3","TC_019","Load miss dirty victim","dcache_load_miss_dirty_victim","Load Data","Verify dirty victim handling during load miss.","Force dirty victim then issue load miss.","Dirty eviction/writeback and refill complete.","cp_dcache_load_event(miss_dirty_victim), cp_victim_type(dirty), cp_writeback_event(dirty_eviction)","mem_monitor, dcache_monitor, perf_if","runtime: reset_deassert=1 fetch_enable=1 done=1 pass=1 timeout=0 critical_xz=0 instr_accept=140160 instr_rsp=140160 load_accept=30056 store_accept=20016 load_rsp=30056 ic_rd_req=44 ic_rd_rsp=44 dc_rd_req=16 dc_rd_rsp_last=16 dc_wr_addr=6 dc_wr_data=6 dc_wr_rsp=6 ic_miss_event=44 ic_refill_event=44 dc_read_miss_event=16 dc_write_miss_event=2; perf_if: cycle=303711 instr=140163 ic_miss=44 ic_refill=44 loads=30056 stores=20016 mem_reads=60 mem_writes=6 read_miss=16 write_miss=2 dcache_miss=18; deep_sampler: refill_start=16 refill_done=16 refill_dir_write=16 refill_way=32 plru_update=16 victim_select=151 victim_way=151 victim_invalid=8 victim_clean=16 victim_dirty=131 dirty_set=300715 ctrl_dirty_updt=300715 ctrl_dirty_hit=300577 stall=0 mshr_alloc=16 mshr_dirty=565 mshr_empty=302466 mshr_hit=83 mshr_full=0 vbuf_alloc=6 vbuf_capture_start=6 vbuf_capture_done=12 vbuf_safe=18 vbuf_wb_start=6 vbuf_wb_done=6 vbuf_full=1045 vbuf_busy=1039 vbuf_capture_pending=12 vbuf_fwd_hit=4 vbuf_fwd_req=133 vbuf_fwd_entry_valid=114 vbuf_fwd_nline_match=5 vbuf_fwd_rsp=4 rtab_empty=303471 rtab_full=0 rtab_alloc=6 rtab_alloc_link=0 rtab_commit=6 rtab_rback=109 rtab_check_hit=236 rtab_replay=121 rtab_mshr_hit=0 rtab_mshr_full=0 rtab_vbuf_hit=0 rtab_write_miss=0 rtab_dir_unavail=0 rtab_dir_fetch=0 rtab_wbuf_hit=0 rtab_wbuf_not_ready=0 arb_active=3018 arb_i_d_mix=19 fetch_before_data=7 req_tag=50072 rsp_tag=50071 sid_match=50071 sid_mismatch=0 tid_match=50071 tid_mismatch=0 load_after_store_value_match=12","PASS","PASS requires dirty victim evidence and external writeback traffic."
